"file","roi","duration","pres_min.kPa.","pres_min.time.","pres_max.kPa.","pres_max.time.","pres_median.kPa.","pres_iqr.kPa.","pres_max_1s_nadir.kPa.","pres_max_1s_nadir.time.","pres_rpc","pres_acclim_pres_surface","pres_acclim_pres_depth","pres_lrpc_surface","pres_lrpc_depth","nadir_baro","rpc_baro","lrpc_baro_surface","lrpc_baro_depth","rot_min.degs.","rot_min.time.","rot_max.degs.","rot_max.time.","rot_median.degs.","rot_iqr.degs.","acc_hig_min.g.","acc_hig_min.time.","acc_hig_max.g.","acc_hig_max.time.","acc_hig_median.g.","acc_hig_iqr.g.","acc_event_95g","acc_event_200g","acc_event_400g","acc_strike","acc_shear","acc_collision","acc_inacc_min.ms.","acc_inacc_min.time.","acc_inacc_max.ms.","acc_inacc_max.time.","acc_inacc_median.ms.","acc_inacc_iqr.ms.","acc_peak_1.time.","acc_peak_1.g.","acc_peak_1_type","acc_peak_2.time.","acc_peak_2.g.","acc_peak_2_type","acc_peak_3.time.","acc_peak_3.g.","acc_peak_3_type","acc_peak_4.time.","acc_peak_4.g.","acc_peak_4_type","acc_peak_5.time.","acc_peak_5.g.","acc_peak_5_type","acc_peak_6.time.","acc_peak_6.g.","acc_peak_6_type","acc_strike_event.time.","acc_strike_event.g.","acc_peak_7.time.","acc_peak_7.g.","acc_peak_7_type","acc_peak_8.time.","acc_peak_8.g.","acc_peak_8_type","acc_peak_9.time.","acc_peak_9.g.","acc_peak_9_type","acc_peak_10.time.","acc_peak_10.g.","acc_peak_10_type","acc_peak_11.time.","acc_peak_11.g.","acc_peak_11_type","acc_peak_12.time.","acc_peak_12.g.","acc_peak_12_type","acc_peak_13.time.","acc_peak_13.g.","acc_peak_13_type","acc_peak_14.time.","acc_peak_14.g.","acc_peak_14_type","acc_peak_15.time.","acc_peak_15.g.","acc_peak_15_type","acc_peak_16.time.","acc_peak_16.g.","acc_peak_16_type","acc_peak_17.time.","acc_peak_17.g.","acc_peak_17_type","acc_peak_18.time.","acc_peak_18.g.","acc_peak_18_type","acc_peak_19.time.","acc_peak_19.g.","acc_peak_19_type","acc_peak_20.time.","acc_peak_20.g.","acc_peak_20_type","acc_peak_21.time.","acc_peak_21.g.","acc_peak_21_type"
"B117-0320152841","roi4_nadir",NA,81.34,225.12,124.62,225.21,98.85,21.35,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,192.01,225.11,2674.67,225.14,452.25,888.82,1,225.02,402.2,225.13,9.55,21.45,4,1,1,"Y",0,1,12.59,225.1,212.3,225.13,45.03,94.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B117-0320152841","roi1_sens_ingress",NA,96.66,147.68,129.64,147.54,101.59,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,146.55,393.97,143.04,133.78,104.81,0,145.76,143.9,147.52,1.7,1,1,0,0,NA,0,0,-9.51,146.96,147.13,147.55,0.62,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B117-0320152841","roi2_inflow_passage",NA,82.83,181.75,104.46,152.76,90.83,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,212.04,587.8,149.58,31.05,39.65,0,149.63,78.1,181.75,1.5,0.9,0,0,0,NA,0,0,-3.08,169.74,5.98,181.77,-0.16,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B117-0320152841","roi3_prenadir",NA,98.93,225.02,101.34,224.78,101.04,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.29,224.72,250.85,224.99,200.78,86.67,0.2,224.73,4.4,225,1.9,1,0,0,0,NA,0,0,0.86,224.73,14.42,225.02,2.81,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B117-0320152841","overall",NA,73.75,240,129.64,147.54,90.53,6.84,101.34,224.78,20,101.3,106.2,0.2194,0.2667,"N","N","N","N",1,212.04,3452.86,225.48,43.73,97.44,0,145.76,402.2,225.13,1.6,0.9,13,4,1,"Y",0,1,-9.51,146.96,226.08,225.5,-0.15,0.22,147.5245,143.9,"collision",225.1145,96.4,"collision",225.132,402.2,"collision",225.1945,109.7,"collision",225.1985,156.2,"collision",225.2275,339.9,"collision",225.132,402.2,225.231,107.6,"collision",225.386,111.6,"collision",225.409,96.7,"collision",225.527,328.7,"collision",226.451,103.7,"collision",227.293,246,"collision",227.2985,133.8,"collision",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B117-0320152841","roi5_postnadir",NA,98.74,225.44,121.41,225.22,111.87,4.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982.73,225.26,3452.86,225.48,2849.4,322.4,1.6,225.39,339.9,225.23,18.3,13.6,4,1,0,NA,0,0,11.91,225.52,226.08,225.5,154.57,64.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B117-0320152841","roi6_outflow_passage",NA,80.7,226.48,114.22,225.52,85.07,5.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.16,227.27,3267.4,225.54,1258.4,642.78,0,225.82,328.7,225.53,1.9,1.2,4,2,0,NA,0,0,-8.47,225.98,191.38,225.58,3.58,9.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B117-0320152841","roi7_sens_outgress",NA,73.75,240,86.74,228.52,79.81,9.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.56,237.18,1030.93,228.69,306.14,281.73,0,229.54,74.9,239,1.6,0.9,0,0,0,NA,0,0,-7.5,233.2,4.07,234.04,-0.02,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B117-0320154250","roi4_nadir",NA,87.15,175.07,132.15,175.16,111.25,19.38,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,241.93,175.05,2233.96,175.15,1162.1,657.02,1.8,174.98,408.5,175.02,11.2,25.25,8,4,1,"Y",0,1,28.15,175.05,220.1,175.09,60.81,48.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B119-0320162046","roi1_sens_ingress",NA,100,113.35,123.74,113.74,105.82,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.44,113.41,355.65,115.23,140.98,173.48,0.2,113.42,194,113.72,1.6,1.2,1,0,0,NA,0,0,-9.73,113.32,147.2,113.75,0.24,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
